"transaction_counts_id","book_id","times_out","is_indeterminate"
"844","1211","70","0"
"845","6701","69","0"
"846","8585","69","0"
"847","11071","69","0"
"848","6014","69","0"
"849","2039","69","0"
"850","2509","69","0"
"851","7208","69","0"
"852","2886","69","0"
"853","5873","69","0"
"854","11062","69","0"
"855","7675","69","0"
"856","10454","69","0"
"857","1176","69","0"
"858","391","69","0"
"859","5834","68","0"
"860","9279","68","0"
"861","11681","68","0"
"862","8027","68","0"
"863","6158","68","0"
"864","7832","68","0"
"865","7865","68","0"
"866","3409","68","0"
"867","11141","68","0"
"868","9366","68","0"
"869","5861","68","0"
"870","10409","68","0"
"871","2723","68","0"
"872","3800","68","0"
"873","82","68","0"
"874","6378","67","0"
"875","5276","67","0"
"876","1135","67","0"
"877","6174","67","0"
"878","1038","67","0"
"879","5759","67","0"
"880","4335","67","0"
"881","10132","67","0"
"882","4944","67","0"
"883","625","67","0"
"884","802","67","0"
"885","4915","67","0"
"886","10712","67","0"
"887","5428","67","0"
"888","1128","67","0"
"889","7439","67","0"
"890","4775","67","0"
"891","5880","67","0"
"892","1054","66","0"
"893","7959","66","0"
"894","6076","66","0"
"895","3326","66","0"
"896","120","66","0"
"897","476","66","0"
"898","8202","66","0"
"899","4032","66","0"
"900","239","66","0"
"901","367","66","0"
"902","1541","66","0"
"903","898","66","0"
"904","9334","66","0"
"905","8176","66","0"
"906","1029","66","0"
"907","7422","66","0"
"908","4166","66","0"
"909","8021","66","0"
"910","1147","65","0"
"911","9614","65","0"
"912","4731","65","0"
"913","910","65","0"
"914","73","65","0"
"915","7833","65","0"
"916","4722","65","0"
"917","386","65","0"
"918","643","65","0"
"919","987","65","0"
"920","9911","65","0"
"921","9784","65","0"
"922","10537","65","0"
"923","325","65","0"
"924","1744","65","0"
"925","7312","65","0"
"926","586","64","0"
"927","10542","64","0"
"928","4602","64","0"
"929","4970","64","0"
"930","8360","64","0"
"931","9616","64","0"
"932","7863","64","0"
"933","2070","64","0"
"934","1297","64","0"
"935","173","64","0"
"936","10711","64","0"
"937","5876","64","0"
"938","1964","64","0"
"939","5397","64","0"
"940","7311","64","0"
"941","11392","63","0"
"942","9439","63","1"
"943","9583","63","0"
"944","4748","63","0"
"945","8346","63","1"
"946","7913","63","0"
"947","558","63","0"
"948","11043","63","0"
"949","321","63","0"
"950","9781","63","0"
"951","579","63","0"
"952","1947","63","0"
"953","5267","63","0"
"954","8887","63","1"
"955","904","63","0"
"956","6700","63","0"
"957","1808","63","0"
"958","1013","62","0"
"959","2165","62","0"
"960","1519","62","0"
"961","7187","62","0"
"962","4029","62","0"
"963","11682","62","0"
"964","5982","62","0"
"965","981","62","0"
"966","4688","62","0"
"967","6070","62","0"
"968","3944","62","0"
"969","11103","61","0"
"970","11151","61","0"
"971","4428","61","0"
"972","6947","61","0"
"973","11138","61","0"
"974","6722","61","0"
"975","8108","61","0"
"976","11669","61","0"
"977","5842","61","0"
"978","6435","61","0"
"979","9621","61","0"
"980","10968","61","0"
"981","1226","61","0"
"982","7051","61","0"
"983","9816","61","0"
"984","534","61","0"
"985","1886","61","0"
"986","5256","60","0"
"987","5352","60","0"
"988","7201","60","0"
"989","11134","60","0"
"990","4697","60","0"
"991","7057","60","0"
"992","2827","60","0"
"993","8442","60","0"
"994","3110","60","0"
"995","8829","60","1"
"996","7526","60","0"
"997","5853","60","0"
"998","1040","60","0"
"999","1222","60","0"
"1000","9587","60","0"
"1001","9907","60","0"
"1002","5713","60","0"
"1003","8109","60","0"
"1004","369","60","0"
"1005","10983","60","0"
"1006","11031","60","0"
"1007","10536","60","0"
"1008","5573","60","0"
"1009","1481","60","0"
"1010","11691","60","0"
"1011","4502","60","0"
"1012","1515","60","0"
"1013","9370","60","1"
"1014","9818","60","1"
"1015","632","60","0"
"1016","11677","59","0"
"1017","2534","59","0"
"1018","7778","59","0"
"1019","681","59","0"
"1020","11665","59","0"
"1021","9968","59","0"
"1022","5261","59","0"
"1023","3712","59","0"
"1024","6256","59","0"
"1025","1783","59","0"
"1026","8107","59","0"
"1027","6577","59","0"
"1028","172","59","0"
"1029","913","59","0"
"1030","385","59","0"
"1031","1301","59","0"
"1032","2243","59","0"
"1033","4726","59","0"
"1034","65","59","0"
"1035","130","59","0"
"1036","5673","58","0"
"1037","3531","58","0"
"1038","1132","58","0"
"1039","2084","58","0"
"1040","6816","58","0"
"1041","4924","58","0"
"1042","316","58","0"
"1043","1572","58","0"
"1044","7639","58","0"
"1045","7175","58","0"
"1046","2088","58","0"
"1047","5152","58","0"
"1048","5313","58","0"
"1049","8110","58","0"
"1050","9605","58","0"
"1051","7180","58","0"
"1052","7694","58","0"
"1053","6085","58","0"
"1054","7421","58","0"
"1055","1115","57","0"
